CO,Description,Bloom's Taxonomy Level
CO1 . CSQ413,After successful completion of the course, the student will be able to identify promising new directions of various cutting-edge technologies.,Understanding (U)
CO2 . CSQ413,After successful completion of the course, the student will be able to read and comprehend research papers from the literature which is related to his/ her areas of interest.,Applying (P)
CO3 . CSQ413,After successful completion of the course, the student will be able to effectively communicate by making an oral presentation before an evaluation committee.,Applying (P)
CO4 . CSQ413,After successful completion of the course, the student will be able to demonstrate listening ability and respond constructively.,Applying (P)
CO5 . CSQ413,After successful completion of the course, the students will be able to develop skills in preparing a well-organized report employing elements of technical writing and critical thinking.,Applying (P)
